Site,Description,Type,Category
weixin.qq.com,China's ubiquitous messaging and social networking super-app with over 1.3 billion users,Social Media,distracting
qq.com,Tencent's instant messaging platform with additional gaming and social features,Social Media,distracting
weibo.com,Chinese microblogging site similar to Twitter,Social Media,distracting
xiaohongshu.com,Social e-commerce app blending shopping reviews and lifestyle sharing,Social Media,distracting
douyin.com,Short-video platform (Chinese version of TikTok) with massive user engagement,Social Media,distracting
kuaishou.com,Another short-video app popular especially in China's rural areas,Social Media,distracting
zhihu.com,China's leading Q&A and knowledge-sharing site,Social Media,distracting
douban.com,Social platform for reviewing books, films, and music,Social Media,distracting
bilibili.com,Video-sharing site popular with youth for anime, games, and music videos,Social Media,distracting
tieba.baidu.com,Topic-based online forums run by Baidu,Social Media,distracting
facebook.com,Global social media network used heavily in Singapore,Social Media,distracting
instagram.com,Photo and video sharing platform popular in Singapore,Social Media,distracting
tiktok.com,Short-video platform globally popular and highly addictive,Social Media,distracting
x.com,Global microblogging platform formerly known as Twitter,Social Media,distracting
reddit.com,Online forum aggregator known for memes and long discussions,Social Media,distracting
youtube.com,Global video-sharing platform and major distraction hub,Social Media,distracting
whatsapp.com,Instant messaging app used for group chats and media sharing,Social Media,distracting
telegram.org,Messaging app known for privacy and large groups,Social Media,distracting
linkedin.com,Professional networking platform also used socially,Social Media,distracting
quora.com,Q&A platform where users ask and answer questions on various topics,Social Media,distracting
pinterest.com,Visual discovery platform for lifestyle inspiration,Social Media,distracting
discord.com,Chat app popular for gaming communities and hobby groups,Social Media,distracting
snapchat.com,Multimedia messaging app with self-destructing messages,Social Media,distracting
9gag.com,Humor and meme sharing site based in Hong Kong,Social Media,distracting
maimai.cn,China's professional networking and gossip app,Social Media,distracting
iqiyi.com,Chinese video streaming platform like Netflix,Social Media,distracting
youku.com,One of China's first video streaming sites,Social Media,distracting
v.qq.com,Tencent Video streaming platform for dramas and variety shows,Social Media,distracting
imgur.com,Image sharing and meme aggregation site,Social Media,distracting
taobao.com,China's biggest e-commerce shopping platform,Shopping,distracting
tmall.com,Alibaba's B2C e-commerce platform for premium brands,Shopping,distracting
jd.com,Large Chinese e-commerce platform specializing in electronics,Shopping,distracting
pinduoduo.com,Social commerce platform offering deep discounts via group buying,Shopping,distracting
vip.com,Chinese discount retailer for fashion and lifestyle products,Shopping,distracting
aliexpress.com,Alibaba's international marketplace selling Chinese goods globally,Shopping,distracting
shopee.sg,Top e-commerce marketplace in Singapore,Shopping,distracting
lazada.sg,Leading Southeast Asian online shopping platform,Shopping,distracting
amazon.sg,Singaporean version of Amazon for fast local delivery,Shopping,distracting
carousell.sg,Online marketplace for second-hand goods in Singapore,Shopping,distracting
shein.com,Chinese fast-fashion online retailer popular globally,Shopping,distracting
toutiao.com,AI-driven personalized news aggregator in China,News,distracting
sina.com.cn,Chinese portal for news, sports, and entertainment,News,distracting
sohu.com,Chinese web portal featuring news and community content,News,distracting
163.com,News and email services from NetEase,News,distracting
ifeng.com,Phoenix News portal offering global and local news,News,distracting
yahoo.com,News aggregation portal popular in Singapore,News,distracting
straitstimes.com,Singapore's main English-language newspaper online,News,distracting
channelnewsasia.com,Regional news and current affairs site based in Singapore,News,distracting
mothership.sg,Youth-oriented news and viral stories site from Singapore,News,distracting
todayonline.com,Singapore's free daily newspaper's digital portal,News,distracting
asiaone.com,Singaporean lifestyle and news aggregator,News,distracting
bbc.com,Global news organization providing international news coverage,News,distracting
cnn.com,Global news portal known for 24/7 updates,News,distracting
theguardian.com,UK-based news site known for in-depth coverage,News,distracting
pornhub.com,World's largest free adult video platform,Porn,addictive
xvideos.com,Major free porn video site with massive traffic,Porn,addictive
xnxx.com,Popular adult streaming site,Porn,addictive
xhamster.com,Adult video sharing and live cam platform,Porn,addictive
redtube.com,Free porn video streaming site part of Pornhub Network,Porn,addictive
youporn.com,Early tube-site for free adult videos,Porn,addictive
stripchat.com,Adult live webcam streaming site,Porn,addictive
chaturbate.com,Adult webcam platform offering live performances,Porn,addictive
onlyfans.com,Subscription-based site for adult and influencer content,Porn,addictive
twitch.tv,Leading live game-streaming platform,Gaming,distracting
douyu.com,Chinese live streaming platform focused on gaming,Gaming,distracting
huya.com,Chinese platform for esports and game streaming,Gaming,distracting
steampowered.com,PC gaming platform offering downloadable games and forums,Gaming,distracting
roblox.com,Online gaming platform for creating and playing user-generated games,Gaming,distracting
4399.com,Chinese site for casual web-based games,Gaming,distracting
poki.com,Platform offering free HTML5 browser games,Gaming,distracting
ign.com,Entertainment site for gaming news and reviews,Gaming,distracting
fandom.com,Fan community wiki for games, movies, and TV,Gaming,distracting
chess.com,Online platform for playing and learning chess,Gaming,distracting
crazygames.com,Free browser-based gaming portal,Gaming,distracting
bet365.com,World's largest online sports betting site,Gambling,addictive
1xbet.com,International sportsbook and casino,Gambling,addictive
sbobet.com,Asia-focused online sportsbook,Gambling,addictive
pokerstars.com,Global online poker site,Gambling,addictive
888.com,Online casino and poker platform,Gambling,addictive
dafabet.com,Online sportsbook popular in Asia,Gambling,addictive
betway.com,Global online betting and casino brand,Gambling,addictive
singaporepools.com.sg,Official and only legal lottery/betting site in Singapore,Gambling,addictive
m88.com,Asia-focused online gambling platform,Gambling,addictive
betfair.com,Peer-to-peer sports betting exchange,Gambling,addictive
coinmarketcap.com,Leading crypto market cap and price tracking site,Crypto,distracting
coingecko.com,Crypto data aggregator founded in Singapore,Crypto,distracting
binance.com,World's largest cryptocurrency exchange,Crypto,distracting
coinbase.com,US-based cryptocurrency exchange popular globally,Crypto,distracting
huobi.com,Major Asian crypto exchange (HTX),Crypto,distracting
okx.com,Global crypto spot and derivatives exchange,Crypto,distracting
kucoin.com,Crypto exchange popular for altcoins,Crypto,distracting
bybit.com,Crypto derivatives exchange offering margin trading,Crypto,distracting
gate.io,Crypto exchange with wide range of altcoins,Crypto,distracting
coinhako.com,Singapore-based crypto exchange,Crypto,distracting
kraken.com,Secure US-based crypto exchange,Crypto,distracting
gemini.com,Compliance-focused crypto exchange founded by Winklevoss twins,Crypto,distracting
bitfinex.com,Long-running crypto exchange linked to Tether,Crypto,distracting
bitmex.com,Crypto derivatives platform famous for 100x leverage,Crypto,distracting
tradingview.com,Charting and analytics platform for crypto and stocks,Crypto,distracting
cointelegraph.com,Leading crypto news and analysis site,Crypto,distracting
